Id,Label,timeset,count,modularity_class
--FL6OwLFWGIZfLfazY4yA,Lorrayne Oliveira,,9780000,0
5incominutos,5incominutos,,10600000,332
7minutoz,7 Minutoz,,11400000,420
AM3NlC,AM3NlC,,13800000,374
Boplayhard,PlayHard,,13300000,41
Camilaloures,Camila Loures,,13400000,393
CanalKondZilla,Canal KondZilla,,64700000,32
CanalTaBombando,LEGENDA FUNK,,14500000,421
DanielSaboya,Dan-Sa / Daniel Saboya,,17600000,1
Gr6explode,GR6 EXPLODE,,35200000,421
Jazzghost1,Jazzghost,,11600000,31
Mekcanal,Matheus e Kauan,,10000000,340
OGATOGALACTICO,Gato Galactico,,14400000,387
OficialHungria,OficialHungria,,11600000,37
Portalfitdance,FitDance,,14600000,1
Rangeldovine,Lucas Rangel,,10500000,393
RedeTVhdBrasil,RedeTV,,12100000,381
Rezendeevil,rezendeevil,,29200000,439
Sbtthenoite,The Noite com Danilo Gentili,,9810000,38
TazerCraft,TazerCraft,,12700000,31
TheEnaldinhO,Enaldinho,,17200000,350
Zncoficial,Zé Neto e Cristiano,,13900000,4
anittaoficial,Anitta,,15300000,6
bandagarotasafada,Wesley Safadão,,13100000,368
blackeyedpeasvideo,Black Eyed Peas,,10500000,6
canalcanalha,CanalCanalha,,20500000,355
coisadenerd,Coisa de Nerd,,10900000,358
euficoloko,EU FICO LOKO,,11900000,327
exetrizegamer,DUDU e CAROL,,14300000,0
fatosdesconhecidos,Fatos Desconhecidos,,17400000,429
fecastanhari,Canal Nostalgia,,13800000,358
felipeneto,Felipe Neto,,42700000,18
felipeviktor,LipaoGamer,,11000000,13
francinyehlke,Franciny Ehlke,,10400000,26
gusttavolimaoficial,Gusttavo Lima Oficial,,17800000,345
hejproducao,Henrique e Juliano,,13300000,4
inventonahoratv,Invento na Hora,,13600000,327
jemproducoes,Jorge & Mateus Oficial,,14100000,12
jpgameplayfull,JP Plays,,10600000,17
juliana1846,Juliana Baltar,,12000000,0
luansantanaoficial,Luan Santana,,10900000,22
maiiki021,MAIKI021,,13500000,409
makebymarimaria,Mari Maria,,9790000,26
mariliamendoncareal,Marília Mendonça,,21700000,12
mkmusicnews,MK MUSIC,,13100000,416
portadosfundos,Porta dos Fundos,,16900000,28
robinhoodgamer1,Robin Hood Gamer,,16500000,17
sbtonline,SBT,,11000000,419
simoneesimaria,Simone e Simaria,,10400000,348
t3ddygames,T3ddy,,12700000,438
vcsabiavideos,Você Sabia?,,41100000,418
viihtubeoficial,Viih Tube,,11000000,413
whinderssonnunes,whinderssonnunes,,42900000,359
xSkyHeLLxx,Renato Garcia,,23400000,19
--LAVm36WiCmqQbekV17qQ,Roy Purdy,,3170000,633
asaprockyuptown,ASAPROCKYUPTOWN,,4240000,633
hQvODKsbmt-A8bgLauCMqA,Steezy Kane,,3460000,633
-2PGzzS1Ggq_cvZan_hqpA,Alexis Tejada,,4300000,475
8El-KamqNxKQg-r15BmIxw,Discovery Home & Health,,4480000,475
CanaldelasEstrellas,Las Estrellas,,5130000,475
FlC8U0Uif2hF0FIgsSIIYQ,Grupo Firme,,4310000,520
