web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
1553043067-5148,https://socialblade.com/youtube/top/5000/mostsubscribed,PewDiePie,https://socialblade.com/youtube/c/pewdiepie,PewDiePie,3779,90210848,20772365682,US,Entertainment,"Apr 29th, 2010",A,,https://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,,https://twitter.com/pewdiepie,,https://instagram.com/pewdiepie,€66.9K - €1.1M,€802.3K - €12.8M
1553043063-5147,https://socialblade.com/youtube/top/5000/mostsubscribed,T-Series,https://socialblade.com/youtube/c/tseriesmusic,T-Series,13218,90194329,65092058996,IN,Music,"Mar 13th, 2006",A++,,https://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,,https://instagram.com/tseries.official,,https://plus.google.com/115156822320080163368,€635.6K - €10.2M,€7.6M - €122M
1553043059-5146,https://socialblade.com/youtube/top/5000/mostsubscribed,Gaming,https://socialblade.com/youtube/channel/UCOpNcN46UbXVtpKMrmU4Abg,Gaming,0,81888222,0,,Games,"Dec 15th, 2013",D-,,https://youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg,null,,,https://youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg,€0 - €0,€0 - €0
1553043055-5145,https://socialblade.com/youtube/top/5000/mostsubscribed,YouTube Movies,https://socialblade.com/youtube/channel/UClgRkhTL3_hImCAmdLfDE4g,YouTube Movies,0,77413743,0,,Film,"Jun 10th, 2015",D-,,https://youtube.com/channel/UClgRkhTL3_hImCAmdLfDE4g,null,,,https://youtube.com/channel/UClgRkhTL3_hImCAmdLfDE4g,€0 - €0,€0 - €0
1553043051-5144,https://socialblade.com/youtube/top/5000/mostsubscribed,Sports,https://socialblade.com/youtube/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,Sports,0,75622870,0,,Sports,"Dec 15th, 2013",D-,,https://youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,null,,,https://youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,€0 - €0,€0 - €0
1553043047-5143,https://socialblade.com/youtube/top/5000/mostsubscribed,5-Minute Crafts,https://socialblade.com/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,2850,52039165,12853732711,US,Howto,"Nov 15th, 2016",A+,,https://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,,https://www.facebook.com/5min.crafts/,,https://instagram.com/5.min.crafts/,€124.5K - €2M,€1.5M - €23.9M
1553043043-5142,https://socialblade.com/youtube/top/5000/mostsubscribed,Canal KondZilla,https://socialblade.com/youtube/c/kondzilla,Canal KondZilla,995,47785398,23658901687,BR,Music,"Mar 21st, 2012",A+,,https://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,,https://instagram.com/kondzilla,,https://plus.google.com/110909183257361061369,€120.4K - €1.9M,€1.4M - €23.1M
1553043039-5141,https://socialblade.com/youtube/top/5000/mostsubscribed,SET India,https://socialblade.com/youtube/c/set-india,SET India,29688,43974122,30601562478,IN,Entertainment,"Sep 20th, 2006",A++,,https://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,,https://twitter.com/sonyliv,,https://plus.google.com/109225915636771502428,€318.3K - €5.1M,€3.8M - €61.1M
1553043035-5140,https://socialblade.com/youtube/top/5000/mostsubscribed,Justin Bieber,https://socialblade.com/youtube/c/justinbieber,Justin Bieber,132,43878072,603895308,CA,Entertainment,"Jan 15th, 2007",B,,https://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,,https://instagram.com/justinbieber,,https://plus.google.com/114501909900126662096,€319 - €5.1K,€3.8K - €61.3K
1553043027-5138,https://socialblade.com/youtube/top/5000/mostsubscribed,Cocomelon - Nursery Rhymes,https://socialblade.com/youtube/c/cocomelon,Cocomelon - Nursery Rhymes,408,40551419,22962398422,US,Education,"Sep 1st, 2006",A++,,https://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,,https://twitter.com/abckidtv,,https://plus.google.com/117230391529580926061,€567.6K - €9.1M,€6.8M - €109M
